id,customer_name,amount,purchase_date
1574,NULL,28119.11,2023-10-01
1575,Charlotte Norris,70361.02,2024-01-02
1576,Jeffrey Livingston,NULL,2025-06-29
1577,Rodney Burke,NULL,2024-06-30
1578,Ryan Davis,17700.44,2025-06-20
1579,Thomas Cordova,45538.76,2024-12-03
1580,Sean Wise,91823.96,2023-08-09
1581,Erin Davidson,7031.59,2023-10-24
1582,Calvin Sanchez,10603.31,NULL
1583,Andrew Barnett,97715.54,2025-04-04
1584,NULL,25488.04,2023-08-30
1585,Heather Combs,1616.62,2024-05-24
1586,Vanessa Wong,87681.66,2024-02-05
1587,Autumn Smith,19836.50,2024-07-18
1588,Patrick Estes,21235.80,2024-02-20
1589,Steven Reed,NULL,2024-05-19
1590,Noah Cole,70187.01,2024-08-29
1591,Donald Miranda,1236.68,NULL
1592,Emma Shaffer,5904.21,NULL
1593,Frank Harrison,14807.02,2024-07-28
1594,Pamela Washington,88980.97,2023-10-02
1595,Lisa Carter,30266.96,2023-12-22
1596,Shelley Taylor,59541.09,2024-01-06
1597,Edward Gould,29801.02,NULL
1598,Laura Oneal,47238.97,2024-07-27
1599,NULL,76510.56,2024-09-26
1600,Andrea Kirby PhD,68408.52,2025-06-18
1601,Samuel Mccall,NULL,2023-08-28
1602,Jason Wise,23511.39,2025-05-23
1603,Dalton Watson,55414.82,2024-07-24
1604,Ryan Richardson,29428.84,2024-07-12
1605,Adrienne Spence,70660.74,2023-08-16
1606,Sara White,14258.24,2024-01-29
1607,Melissa Strong,83980.70,2024-08-03
1608,Gabriel Armstrong,76795.71,2025-07-04
1609,Lynn Blair,86571.63,2024-07-01
1610,NULL,86991.21,2023-10-03
1611,Wesley Steele,NULL,2024-08-06
1612,Cody Duncan,9310.52,2024-09-01
1613,Emma Ortiz,56940.18,2023-10-13
1614,Krystal Garcia,16346.66,2025-07-12
1615,Luis Ford,NULL,NULL
1616,William Mullen,81939.61,2024-10-23
1617,Brenda Johnson,3269.45,2025-06-14
1618,Michael Sandoval,54357.97,2023-08-28
1619,NULL,NULL,NULL
1620,Zachary Powell,1442.78,2024-01-21
1621,Sean Gutierrez,61626.45,2024-04-28
1622,Willie Ortega,66358.66,2025-01-20
1623,Patricia Newton,32765.49,2023-12-08
1624,Gregory Medina,72723.81,2024-06-20
1625,Marissa Cummings,53562.38,2023-12-29
1626,Heather Woods,79544.02,2024-01-08
1627,Stephanie Barber,74504.25,2023-09-11
1628,Michael Price,65767.83,2023-08-06
1629,Bobby Doyle,47038.89,2024-08-14
1630,Marc White,70280.37,NULL
1631,Joseph Bryant,64031.49,2025-03-01
1632,Angela Baldwin,73054.88,2023-12-09
1633,NULL,59530.40,2024-05-26
1634,Laura Weeks,74179.56,2023-09-09
1635,Jodi Smith DDS,88123.58,2024-02-11
1636,Clayton Roberts,2381.49,NULL
1637,Summer Hammond,NULL,2024-07-23
1638,Brooke Santos,3640.66,2023-11-23
1639,Keith Peters,48127.10,2024-05-07
1640,Kelly West,37454.87,2024-10-13
1641,Trevor Williams,5220.12,2023-10-01
1642,Joshua Sanchez,7448.38,2024-05-16
1643,David Smith,19605.39,2023-08-29
1644,Mary Gillespie,59970.62,2024-09-01
1645,Kyle Campbell,628.59,2024-03-10
1646,Mary Ward,36782.43,2024-03-15
1647,NULL,32798.06,2025-06-14
1648,Michelle Williams,60583.97,NULL
1649,Heather Brown,59561.05,2025-07-06
1650,Dominique Schultz,18219.29,2024-04-14
1651,Derrick Coleman,29964.00,2023-10-07
1652,Richard Guzman,72018.61,2025-03-05
1653,Victoria Hill,22013.19,2025-02-28
1654,Sharon Sandoval,31409.60,2023-10-28
1655,Jonathan Davis,15388.31,2024-11-16
1656,Mary Booth,NULL,2023-10-01
1657,Jonathan Turner,40898.90,2025-07-19
1658,NULL,85736.86,NULL
1659,Robert Carey,54377.82,2024-12-23
1660,Holly Hoffman,34868.29,2024-02-21
1661,Jerry Rhodes,45116.46,2024-05-12
1662,Gregory Rodriguez,50262.14,NULL
1663,Sara Perry,46712.19,2025-06-12
1664,Frank Fernandez,15306.99,NULL
1665,Danielle Wilson,97402.63,2024-03-09
1666,Virginia Buck,1503.00,2024-06-23
1667,Allen Clay,64071.44,2023-10-19
1668,Julia Fernandez,64078.23,2025-07-30
1669,Luke Gonzales,30244.39,2024-06-17
1670,Thomas Meadows,10637.16,2025-01-15
1671,Carrie Keller,41854.65,2025-05-08
1672,Sean Montoya,52215.67,NULL
1673,Matthew Sanders,86439.38,2025-05-18
1674,Edward Riley,1737.32,2023-08-10
1675,Mark Gordon,11794.76,NULL
1676,Adam Allen,91026.76,2024-11-14
1677,Anna Harrison,62764.49,2024-07-03
1678,Christopher Alexander,38398.31,NULL
1679,Beth Hall,48989.61,2023-09-03
1680,Rebecca Morales,4283.15,NULL
1681,Jennifer Richardson,17407.47,2024-08-12
1682,Rebecca Nunez,71505.86,2024-07-09
1683,Virginia Hernandez,31108.77,2023-09-15
1684,Brandi Hopkins,91551.53,2025-04-14
1685,Michelle Mills,47571.76,2025-06-19
1686,Kenneth Sanders,68115.01,2023-10-28
1687,Taylor Smith,35575.01,NULL
1688,Patrick Murphy,57448.69,2024-07-01
1689,Jordan Martin,44615.23,2024-04-28
1690,Valerie Johnson,90112.91,NULL
1691,Catherine King,NULL,2024-08-30
1692,Ronald Smith,11816.53,2024-11-19
1693,Dana Simmons,2646.36,2025-07-23
1694,NULL,50404.78,2025-03-09
1695,Bryce Fleming,82880.97,2024-12-21
1696,Kimberly Burton,65949.20,2025-01-11
1697,Christopher Palmer,16330.27,NULL
1698,Jeffrey Hall DDS,64820.71,NULL
1699,Mrs. Tonya Mcdowell,84814.14,2025-01-05
1700,Stacy Brown,94589.18,2023-08-07
1701,Lori Thompson,NULL,2024-01-11
1702,Beth Green,46643.58,2024-11-13
1703,Heather Johnson,28081.35,2025-02-03
1704,Christopher Solomon,96079.43,2023-12-12
1705,Brittany Gray,34066.23,NULL
1706,Sarah Phillips,77643.40,2024-01-29
1707,Micheal Powell,85950.17,2024-01-08
1708,Audrey Morrow,38836.62,2025-07-23
1709,Carrie Moore,92948.94,2025-05-01
1710,Michael York,91350.64,2024-06-18
1711,Justin Gregory,NULL,NULL
1712,Samuel Smith,24911.34,NULL
1713,Samantha Campos,81368.72,2024-12-27
1714,Johnathan Wood,91866.06,2024-12-20
1715,Samantha Freeman,3747.04,NULL
1716,Breanna Powell,84700.46,2024-08-20
1717,Brandon Vazquez,86239.63,NULL
1718,NULL,64336.24,2024-12-13
1719,Marc Clark,63219.78,2025-01-14
1720,John Smith,80927.34,2024-04-17
1721,Ralph Brown,81377.37,2024-04-11
1722,Jimmy Lee,78152.00,2023-08-29
1723,Larry Wilson,77143.76,2025-05-01
1724,Jennifer Chen,9510.28,2025-01-02
1725,Mary Smith,14150.37,2025-04-23
1726,Veronica Taylor,77219.81,2023-08-24
1727,Richard Smith,61210.11,2024-01-31
1728,Alexis Vasquez,54860.84,2024-07-07
1729,Bradley Barrett,NULL,2024-07-05
1730,Kimberly Lane,1200.80,2025-03-26
1731,James Duran,NULL,2025-07-23
1732,Brian Smith,40963.37,2024-01-18
1733,Mr. Joshua Hartman,8695.66,2024-04-05
1734,Allison Steele,NULL,2024-05-11
1735,Stephanie Vasquez,44248.71,2024-07-31
1736,Travis Ramsey,78633.92,NULL
1737,NULL,NULL,2023-08-31
1738,Heather Prince,56413.05,2025-05-09
1739,William Davidson,5610.53,2023-08-29
1740,John Marshall,82363.37,NULL
1741,Jennifer Flowers,54843.07,2024-10-17
1742,NULL,42249.75,2025-02-10
1743,George Garcia,8872.79,2025-05-13
1744,Javier Murphy,59980.05,2024-04-02
1745,Amy Campbell,-181.22,2024-10-25
1746,Ashley Harper,23428.30,2025-05-16
1747,Kurt Alvarez,32971.35,2025-04-11
1748,Michael Williams,2953.79,2024-01-30
1749,Andrea Mejia,51591.76,2024-12-08
1750,David Gibson,37126.41,2023-11-18
1751,Terry Kelly,38771.29,2025-04-10
1752,Stephanie Hughes,3527.58,2023-08-18
1753,Christine Peters,NULL,2023-08-09
1754,Frank Deleon,6917.72,2025-04-14
1755,Jessica Ferguson PhD,51621.37,2023-08-15
1756,William Watkins,21258.61,2024-10-15
1757,Richard Camacho,22448.69,2024-09-04
1758,Calvin Johnson,NULL,2024-11-18
1759,Joel Mckinney,25617.88,2025-05-06
1760,Steven Hudson,43149.58,2023-09-20
1761,Matthew Cox,21896.13,NULL
1762,Michael Hernandez,55175.96,NULL
1763,Todd Zavala,644.86,2025-02-26
1764,Janice Chapman,66890.36,2024-01-09
1765,Crystal Thompson,72209.34,2024-03-31
1766,Ruth Taylor,NULL,2023-12-12
1767,NULL,84949.67,2024-03-05
1768,Kristin Clark DVM,13770.54,NULL
1769,Colleen Kane DDS,30717.54,2024-10-28
1770,Eric Roberts,19789.07,NULL
1771,NULL,NULL,2023-10-11
1772,NULL,14100.55,2023-10-26
1773,Paul Watson,57594.77,2023-09-14
1774,Timothy Hawkins,64745.11,2025-07-23
1775,Melanie Warner,NULL,2024-06-20
1776,Susan Reese,54864.67,2025-02-02
1777,Joshua Hernandez,94591.30,2023-12-27
1778,Steven Vaughn,NULL,2023-08-24
1779,William Bush,33641.63,2023-12-27
1780,Miss Angela Pena DVM,63707.30,2024-05-23
1781,Amanda Colon,73292.74,2023-12-25
1782,Nicholas Lee,NULL,2024-02-15
1783,Lisa Medina,1790.46,2025-05-23
1784,Anne Stewart,99203.99,2024-08-07
1785,Jonathan Glenn,77389.01,2025-01-10
1786,Shawn Johnson,31670.14,2024-08-30
1787,Christopher Nielsen,30826.55,2025-03-30
1788,Eric Alvarez,65481.38,2025-04-03
1789,Kelsey Gonzales,237.37,2024-05-06
1790,Katie Williams,91826.86,2024-05-11
1791,Robert Robinson,53588.03,2025-07-30
1792,Lisa Garcia,79110.54,2024-09-15
1793,Angela Murillo,64505.36,2024-03-03
1794,Daniel Bailey,94245.34,2024-07-25
1795,NULL,NULL,NULL
1796,Troy Ramirez,36128.26,2025-03-14
1797,NULL,30236.28,2025-07-30
1798,Andrew Wilson,3751.93,2025-03-13
1799,Paige Garcia,52742.33,2024-11-02
1800,Robert Simmons,85363.08,2025-02-07
1801,Jenna Stewart,40542.62,2024-09-17
1802,Mary Jones,91202.70,2024-04-03
1803,Robert Hurst,62516.44,NULL
1804,Ashley Herrera,88672.70,2024-03-01
1805,Kimberly Miller,76951.57,2024-06-18
1806,Jennifer Werner,65835.95,2024-10-12
1807,Christopher Romero,NULL,2025-05-19
1808,NULL,66830.95,2024-10-19
1809,Jack Johnson,35960.48,NULL
1810,Kevin Brown,44086.70,2025-03-14
1811,Carlos Perez,98627.07,2023-11-22
1812,Douglas Lam,92216.18,2024-09-04
1813,Christine Warren,55979.88,2023-12-03
1814,Julie Young,35151.72,2023-11-02
1815,Joan Brown,21075.05,2024-06-24
1816,Casey Tucker,48018.81,2025-04-29
1817,Patricia Parker,10510.12,2024-12-02
1818,Todd Hernandez,72848.08,2023-10-16
1819,Carlos Mueller,54555.65,2023-12-31
1820,Patty Johns,40737.50,2024-12-22
1821,Chase Anthony,71714.88,2024-01-20
1822,Isaiah Walls,64284.52,2023-11-28
1823,Austin Rojas,77973.19,2025-03-06
1824,Matthew Ross,NULL,2024-10-30
1825,Susan Mcclain,65288.52,2024-02-10
1826,Keith Campbell,54959.52,2024-11-24
1827,Joseph Lopez,28829.68,2025-05-29
1828,Jonathan Singleton,94938.02,2024-08-26
1829,Tiffany Logan,29170.47,2023-11-12
1830,Lori Smith,28017.40,2024-12-09
1831,Veronica Owens,24632.03,2024-05-10
1832,Sandra Ramirez,7752.38,2024-06-27
1833,Barbara Deleon,29643.83,2023-11-22
1834,Mark Smith,92703.07,2024-11-27
1835,Clayton Cook,48634.86,2024-10-18
1836,Kyle Garcia,8858.58,2024-08-08
1837,John Johnson,53941.08,2024-05-06
1838,Sue Rivera,96185.13,2024-01-04
1839,Andrew Massey,28890.26,2023-10-10
1840,Joshua Chambers,19100.97,2024-02-19
1841,Jill Warren,85908.97,2025-07-13
1842,Nicholas Morales,94704.00,2024-03-25
1843,Katrina Guzman,55932.95,2025-07-28
1844,Bridget Hunter,91010.17,2025-03-17
1845,Jeffrey Torres,9694.77,2024-09-16
1846,Cynthia Anderson,24163.64,2024-05-22
1847,Thomas Whitney,55232.48,2025-01-25
1848,Anna Owen,88995.49,NULL
1849,Luke Kerr,70590.93,2024-10-20
1850,Kathryn Garza MD,5683.58,2024-05-27
1851,John Dorsey,87576.61,NULL
1852,Marcus Davis,97550.04,2023-09-14
1853,Emily Hernandez DDS,1897.55,2023-12-23
1854,Darren Anderson,27510.96,NULL
1855,Denise Salazar,NULL,2024-02-06
1856,Dr. Tony Cohen,44664.80,2025-01-31
1857,Julie Campos,45958.03,2023-11-14
1858,Amanda Welch,6976.14,2025-05-02
1859,Patrick Hall,37618.38,2025-02-20
1860,Karen Copeland,65190.88,2023-10-03
1861,Richard Arias,59262.21,NULL
1862,Leslie Graves,96449.31,2024-10-11
1863,Charles Brown,14937.26,2023-11-03
1864,Logan Patrick,93623.14,2023-12-02
1865,Angela Smith,55212.79,2024-11-27
1866,Corey Love,6938.35,2025-03-16
1867,Sharon Harmon,24813.37,2024-01-12
1868,Thomas Fry,NULL,2024-08-19
1869,Sarah Washington,21686.92,2023-09-13
1870,Derek Schultz,NULL,2024-09-11
1871,Dr. Madeline Hogan,56778.22,2024-11-08
1872,Derrick Mills,19917.71,2024-10-16
1873,Charles Martin,94874.48,2023-08-26
1874,Dennis Thompson,80676.78,2025-06-17
1875,Derek Sweeney,22000.83,2025-01-30
1876,Victoria Moore,48042.51,2024-10-13
1877,Cynthia Robles,17111.48,2023-12-17
1878,Nathan Downs,2901.47,2024-02-17
1879,Candice Nguyen,47182.68,2025-05-02
1880,Amanda Marshall,65782.36,2023-12-19
1881,Derek Hudson,17425.23,2024-06-16
1882,Steven Ibarra,41241.77,2024-03-14
1883,Crystal Glenn,45940.01,2025-02-14
1884,Ashley Camacho,44452.00,2024-08-14
1885,Johnny Gibson,NULL,2023-08-06
1886,Sabrina Nash DVM,23019.82,2024-09-21
1887,Edward Boyer,7553.03,2025-03-20
1888,Taylor Peterson,53473.44,2024-09-19
1889,Cameron Perkins,8945.07,2024-01-22
1890,Terri Clark,56555.63,2024-03-25
1891,Derek Watkins,65116.04,2024-08-19
1892,Paul Adams,10243.66,2024-06-09
1893,Jason Phillips,69503.51,2024-06-06
1894,Melanie Herrera,30472.08,2024-04-05
1895,Dawn Davis,39602.94,2023-11-11
1896,Cameron Scott,5580.38,2024-05-31
1897,Daniel Freeman,93290.85,2025-05-28
1898,Ann Sanchez,68993.95,NULL
1899,NULL,78384.68,2024-03-04
1900,Anthony Barnes,5872.41,2024-03-29
1901,Jacqueline Allen,25413.93,NULL
1902,William Dunn,76629.14,2024-04-22
1903,Katherine Richardson,NULL,2023-10-12
1904,Richard Pena,12364.28,2025-06-03
1905,Teresa Merritt,2539.63,2024-03-08
1906,Frank Johnson,92001.95,2024-04-24
1907,Andrew Powell,57779.41,2023-08-29
1908,Aaron Lowe,30737.70,2023-11-21
1909,Anna Vargas,69571.58,2024-12-02
1910,Charles Boone,68697.81,2023-10-24
1911,Christina Castro,59456.11,2024-12-17
1912,NULL,7150.74,2024-04-27
1913,Angela Hopkins,93926.45,2023-09-05
1914,Donna Parsons,60180.68,2024-03-31
1915,Dr. Veronica Chen,52513.62,2024-11-15
1916,Thomas Sanchez,NULL,2023-11-13
1917,Jeffrey Lewis,89487.55,2025-06-05
1918,Dave Ferguson,NULL,2024-03-08
1919,Paul Ellis,75987.18,2025-05-09
1920,John Mclean,30143.21,2024-11-03
1921,Brooke Miller MD,27976.29,NULL
1922,Robert Johnson,1349.44,2024-04-26
1923,Maria Brown,37907.04,2024-07-03
1924,Ryan Valenzuela,47293.12,2024-01-30
1925,Jason Phillips,NULL,2023-09-26
1926,Robyn Richardson,37337.29,2024-05-14
1927,Erin Carroll,72290.42,2025-01-23
1928,Christine Franklin,55914.98,2023-10-05
1929,Yolanda Barber,95320.76,NULL
1930,Jamie Fuentes,52262.93,NULL
1931,Yolanda Hamilton,41839.76,2025-05-09
1932,Jennifer Bennett,4147.81,2024-07-21
1933,Michael Smith,84940.35,2023-08-22
1934,Emily Gordon,NULL,2025-03-29
1935,Christine Brown,99403.69,2024-01-16
1936,Kimberly Melton,91367.78,2023-08-15
1937,John Thornton,4963.82,2023-09-16
1938,Erik Berg,90780.13,2024-08-02
1939,Jennifer Turner,87449.96,2025-02-03
1940,Alicia Richardson,60084.03,2024-08-17
1941,Nicole Gonzalez,2778.11,2025-07-31
1942,Patrick Farmer,21859.08,2024-01-20
1943,Shelly Castillo,20290.06,2023-12-20
1944,Jessica Wong,30642.06,NULL
1945,John Watkins,82186.52,2025-04-04
1946,Benjamin Goodman,NULL,2024-02-07
1947,Jacob Murphy,55607.58,2024-10-14
1948,Timothy Alvarez,32574.12,2024-01-25
1949,Lisa Abbott,83959.48,2024-03-21
1950,Erik Mcdaniel,55677.19,2024-06-07
1951,Katie Hicks,58613.72,NULL
1952,Whitney Matthews,48825.44,2023-08-03
1953,George Ward,60047.09,2025-05-05
1954,Melanie Bishop,14080.63,2023-11-23
1955,Catherine Garcia,97869.91,2023-12-27
1956,Leah Webb,NULL,2023-08-04
1957,Daniel Thomas,37183.49,2023-12-23
1958,Anita Brown,30693.28,2024-03-24
1959,Kristopher Hopkins,48718.29,2024-05-21
1960,Jessica Mitchell,25996.20,2023-11-02
1961,Melissa Ramos,71602.78,2024-10-03
1962,James Poole,49308.13,2024-07-12
1963,Jason Clark,6208.26,2025-06-02
1964,Michael Moore,39397.96,2024-12-04
1965,NULL,37412.45,2024-06-19
1966,Michelle Phillips,95790.34,2024-05-28
1967,Jeffery Bass,76774.13,2024-08-21
1968,Fred Burton,95758.57,2025-05-09
1969,Michelle Mora,4629.05,NULL
1970,Terri Davidson,72709.28,NULL
1971,Jonathan Torres,79394.20,2023-11-24
1972,Stacey Martinez,30426.11,2024-01-09
1973,Patrick Howard,13586.44,NULL
1974,Sean Mckee,36036.20,2024-04-13
1975,Justin Thomas,14078.83,2024-04-12
1976,NULL,74151.75,2023-09-07
1977,Kevin Davis,86492.67,2023-09-21
1978,Troy Sullivan,86090.26,2025-03-05
1979,Justin Foster,78253.93,2024-08-10
1980,Diana Case,77013.25,NULL
1981,Stephen Long,39028.87,2024-05-27
1982,NULL,93709.70,NULL
1983,Darrell Wagner,68433.48,2024-08-24
1984,Richard Perez,76224.23,2025-07-29
1985,Joseph Morgan,46662.79,2024-03-14
1986,Daniel Arias,43829.72,2024-03-19
1987,Louis Jones,76536.37,2024-03-14
1988,Wendy Watts,13531.85,2023-12-12
1989,Jose Williams,65557.82,NULL
1990,Sherri Oneal,NULL,2025-01-16
1991,NULL,41886.28,2024-03-22
1992,Alexandra Lee,49150.11,NULL
1993,Robert Ware,5076.95,2024-05-03
1994,Mrs. Tracy Welch MD,73843.83,2025-03-08
1995,Lori Johnson DVM,44368.66,2025-01-23
1996,Heather Galvan,17734.83,2025-01-19
1997,John Duncan,68100.10,NULL
1998,John Randall,98545.32,2025-07-24
1999,Anna Romero DDS,34512.58,2025-02-14
2000,Bryce Williams,606.36,2025-01-29
2001,Heather Rogers,12579.76,2024-02-27
2002,April Moore,83894.69,2023-09-18
2003,Heather Lopez,86239.66,2025-07-10
2004,Nicholas Rodriguez,64238.60,2025-05-13
2005,Christopher Hayes,36431.37,2024-07-03
2006,Kathy Williams,15594.35,2024-03-30
2007,Nathan Lowery,58532.81,2024-01-16
2008,Christopher Burns,12825.65,NULL
2009,Matthew Smith,77439.29,2024-12-14
2010,Ronald Alvarez,NULL,2024-10-26
2011,Gregory Montgomery,78148.50,2024-10-24
2012,Deborah Anderson,67324.11,2024-10-19
2013,Suzanne Walsh,NULL,2024-11-10
2014,Katie Huynh,7979.14,2024-03-23
2015,NULL,42627.58,2024-10-03
2016,Tracy Shaw,45381.29,2024-03-06
2017,Stephanie Gomez,11616.00,2024-10-30
2018,Edward Hart,61550.70,2023-09-28
2019,Luis Smith,97555.83,2024-08-16
2020,Rebecca Brown,24820.17,2024-07-28
2021,Valerie Shaffer,17087.09,2023-10-07
2022,Cody Martinez,925.05,2025-04-19
2023,Mario Shelton,63555.25,2025-01-27
2024,Sarah Walker,46798.01,2025-02-14
2025,Donna Thomas,16815.10,2025-03-19
2026,Trevor Sloan,NULL,2024-11-05
2027,Joseph Dean,NULL,2025-03-18
2028,NULL,81280.11,2024-08-02
2029,Heather Walker,57693.88,2025-01-22
2030,Jamie Davis,46262.25,2025-06-28
2031,Audrey Robinson DDS,3392.21,NULL
2032,Mike Wilson MD,50072.25,NULL
2033,Sabrina Hoover,42572.20,2023-12-22
2034,Melanie Harmon,11356.88,2024-12-05
2035,Chad Fisher,86331.74,2025-04-14
2036,Lori Wong,78066.86,2024-05-30
2037,Mrs. Karen Wood,74579.79,2024-09-03
2038,Erik Walker,77794.03,2024-03-13
2039,Nicole Collins,15176.88,2025-04-30
2040,April Butler,66834.09,2025-01-27
2041,Dawn May,NULL,2025-05-29
2042,Eduardo Yang,41649.77,2024-06-22
2043,Melissa Vasquez,18826.79,2024-11-08
2044,Michaela Mack,21451.10,2024-01-29
2045,Benjamin Barry,5622.00,2024-04-23
2046,Curtis Thompson,86109.99,2025-04-30
2047,Brian Lopez,26564.66,2024-11-09
2048,Amy Austin,62925.16,NULL
2049,Mitchell Lopez,23583.67,2024-03-22
2050,Susan Peters,NULL,2025-02-04
2051,Carl Thompson,19178.65,2023-11-26
2052,Kimberly Paul,26290.93,2024-09-17
2053,Ronnie Johnson,72460.26,2025-03-09
2054,John Walters,93453.21,2023-08-21
2055,Mary Chaney,NULL,NULL
2056,Karen Flores,NULL,2024-11-07
2057,Scott Christensen,67136.53,2024-07-16
2058,Sean Hayden,NULL,2025-06-14
2059,Joseph Carr,91427.21,2025-03-25
2060,Jessica Long,16109.87,2023-08-10
2061,Robert Reynolds,71662.26,2024-06-26
2062,Jennifer Warren,47538.23,NULL
2063,Chloe Williamson,34197.34,2024-02-23
2064,NULL,45999.90,2025-02-01
2065,Jennifer Buchanan,54644.82,2025-07-17
2066,NULL,88169.76,2024-02-14
2067,Sandra May,72220.81,2023-10-22
2068,April Kim,87093.73,2024-06-05
2069,Kimberly Hodges,38899.62,2024-06-02
2070,Mrs. Crystal Mendez,47424.27,2024-03-27
2071,Priscilla Mcdonald,32250.42,2025-01-13
2072,Christine Mcclure,23763.46,2025-06-16
2073,Lindsey Adams,1497.05,2024-12-19
2074,Tiffany West,5394.58,2025-07-16
2075,Mary Padilla,72979.35,2024-11-20
2076,Pamela Stone,87772.14,2025-07-25
2077,James Brewer,99437.14,2023-11-17
2078,Anne Noble,94996.38,2023-09-02
2079,Lauren Henderson,93145.95,2025-01-10
2080,Rhonda Burns,77106.35,2024-09-23
2081,Wayne Turner,50514.67,2024-05-05
2082,Eric Smith,64744.18,2024-10-14
2083,Vanessa Merritt,87882.18,2024-01-12
2084,Dillon Wright,93222.70,2024-06-07
2085,Renee Stokes,2729.15,2023-09-18
2086,Jeremiah Griffin,25621.48,2025-02-17
2087,Anna Arnold,76670.21,2023-12-12
2088,Gregory Nichols,54690.81,2023-08-26
2089,David Mendez,NULL,2025-05-25
2090,Derek Morgan,67871.16,2024-10-13
2091,Charles Mitchell,23745.36,2024-05-26
2092,Maria Gibson,98372.37,2024-03-01
2093,Kyle Shaw,60612.61,2024-02-04
2094,Jennifer Pearson,95167.27,2024-01-25
2095,Candace Edwards,94108.82,2023-12-07
2096,Jackie Hanna,NULL,2024-12-21
2097,Derek Martin,14495.02,NULL
2098,Roger Stanley,34188.09,2024-12-02
2099,Matthew Adams,NULL,2024-11-24
2100,Emily Hall,55715.60,2025-04-12
2101,Karen Griffin DDS,17755.76,2024-04-12
2102,Michelle Wilson,NULL,2025-06-02
2103,Susan Hansen,4672.77,2025-01-28
2104,Donna Mathews,28716.33,2024-12-09
2105,Victor Serrano,68856.48,2024-03-28
2106,Taylor Mendoza,81775.49,2024-02-26
2107,Jamie Ruiz,28520.57,2024-03-30
2108,Parker Alexander,48499.24,2024-03-16
2109,Sharon Lopez,82690.70,NULL
2110,Jennifer Henson DVM,51094.05,2025-07-25
2111,Sean Jennings,66526.00,2024-04-21
2112,NULL,NULL,2024-05-21
2113,Christine Smith,2215.51,2025-03-08
2114,Theodore Ferguson,53450.96,2023-09-08
2115,Kelli Patton,14805.76,2023-09-27
2116,Jose Richardson,14399.09,NULL
2117,Tina Rogers,64768.37,2024-12-06
2118,Tiffany Campbell,35367.66,2024-12-29
2119,Warren Anderson,8381.41,NULL
2120,Zachary Fox,20210.98,2024-09-15
2121,Sarah Hoffman,56961.51,2024-09-15
2122,Kristin Adams,55555.34,2025-03-13
2123,David Lee,91512.00,2024-05-06
2124,Tamara Morales,36260.12,2025-06-13
2125,Deborah Martinez,85956.23,2024-10-30
2126,Charles Harrell,35483.80,2023-12-05
2127,Sarah Wilson,86195.59,NULL
2128,Jamie Hill,NULL,2024-10-05
2129,Joyce Wu,4954.41,2024-03-08
2130,Paul Gonzalez MD,97259.78,2024-07-08
2131,Amy Shields,83522.70,2025-03-17
2132,Richard Daniel,4892.74,2024-07-15
2133,Vanessa Phillips,NULL,2024-03-15
2134,Lee Galvan,43400.63,2023-08-20
2135,NULL,87067.85,2024-06-17
2136,Angel Harrison,NULL,NULL
2137,Michelle Garcia,88759.26,2024-08-15
2138,Natalie Johnston,54919.60,2024-10-17
2139,Nancy Snow,12640.94,2023-09-20
2140,Patricia Brown,15089.14,2025-07-12
2141,Mr. Paul Smith,61186.17,2024-09-14
2142,Tyler Bishop,NULL,NULL
2143,Morgan Alexander,51640.29,2023-10-09
2144,Natalie Sellers,5310.19,2025-02-05
2145,Kevin Soto,78421.73,2024-12-14
2146,Rebecca Gregory,32731.13,2024-04-12
2147,Yvonne Wallace,26710.49,2025-04-01
2148,Nathan Henry,52762.52,2024-02-18
2149,William Rodriguez,14616.14,2023-12-06
2150,Pedro Garcia,72713.93,2024-11-08
2151,Dawn Sandoval,NULL,2024-10-26
2152,Brian Benson,57846.17,NULL
2153,Rebecca Ball,3126.68,2024-08-08
2154,John Lane,75748.66,2024-07-25
2155,Robert Rogers,65564.55,2024-01-31
2156,Jeanne Graves,95631.53,2023-09-25
2157,Nicole Bryant,85669.65,2023-11-06
2158,Frank Lewis,56837.48,2023-10-19
2159,Elaine Gonzalez,72175.58,2025-02-27
2160,Ryan Flores,62014.07,NULL
2161,Michelle Li,50948.96,NULL
2162,Emily Costa,28740.77,NULL
2163,John Fuller,67497.82,2025-07-01
2164,Ruth Peterson,20641.70,2024-12-11
2165,Angela Barron,65916.06,NULL
2166,Kimberly Jensen,80304.57,2024-10-06
2167,Adrian Donaldson,29645.03,NULL
2168,Adam Vaughn,NULL,2024-03-22
2169,Kyle Hawkins,33157.56,2024-10-26
2170,Mitchell Smith,74998.82,2024-05-10
2171,Catherine Oliver,68505.18,2025-07-16
2172,Eric Smith,87365.77,2024-03-10
2173,Katie Taylor,47055.00,2024-02-28
2174,Jennifer Henry,52977.99,2025-06-11
2175,Adrienne Wallace,39594.45,2024-05-02
2176,Nancy Wilson,22235.72,2024-06-27
2177,Stephen Carson,21595.60,2024-04-10
2178,Kelly Mercer,14722.16,2024-02-08
2179,Christopher Moore,25413.76,2023-10-26
2180,Thomas Brown,4556.02,2024-10-08
2181,Michael Porter,69150.79,2025-04-17
2182,Nichole Pierce,NULL,2024-09-20
2183,Jonathan Johnson Jr.,90047.16,2024-02-25
2184,Jamie Sanchez,25498.26,2023-12-30
2185,Tracey Beck,37081.29,2024-04-25
2186,Catherine Reilly MD,993.21,2023-10-18
